velocity,center,corner,border,mobility,mobile,immobile
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
0.3110030530717595,0.0,0.0,1.0,4.808634380000003,0.0,0.0
1.399235205651733,0.0,0.0,1.0,12.8571,0.0,0.0
1.5322598982151154,0.0,0.0,1.0,13.6777,0.0,0.0
1.5372660323087532,0.0,0.0,1.0,14.3473,0.0,0.0
1.4834461024862662,0.0,0.0,1.0,14.0966,0.0,0.0
1.3283612371227487,0.0,0.0,1.0,13.1994,0.0,0.0
1.4303727853966732,0.0,0.0,1.0,13.0144,0.0,0.0
1.4591078036549918,0.0,0.0,1.0,12.6827,0.0,0.0
1.502494299133186,0.0,0.0,1.0,12.2587,0.0,0.0
1.7586909487079092,0.0,0.0,1.0,13.05,0.0,0.0
1.7693668726577576,0.0,0.0,1.0,14.7295,0.0,0.0
1.6983652780205862,0.0,0.0,1.0,15.1759,1.0,0.0
1.65035871742602,0.0,0.0,1.0,15.3463,1.0,0.0
1.582729642697692,0.0,0.0,1.0,15.5301,1.0,0.0
1.5579765590148098,0.0,0.0,1.0,15.0765,1.0,0.0
1.4902166675255901,0.0,0.0,1.0,14.2397,0.0,0.0
1.4498070510208592,0.0,0.0,1.0,14.2605,0.0,0.0
1.4399447435107033,0.0,0.0,1.0,14.1346,0.0,0.0
1.3126919416900813,0.0,1.0,0.0,13.3781,0.0,0.0
1.2520312524687673,0.0,1.0,0.0,12.4687,0.0,0.0
1.2128500372553368,0.0,1.0,0.0,11.7431,0.0,0.0
1.161901694867059,0.0,1.0,0.0,10.8631,0.0,0.0
1.1600351630348231,0.0,1.0,0.0,10.2627,0.0,0.0
0.998128682188707,0.0,1.0,0.0,9.84262,0.0,0.0
0.8901282787881043,0.0,1.0,0.0,9.2172,0.0,0.0
